task_id,category,screen,route,page_entry,depends_on,requirement_ref,priority,detail_file,status,wave_id
PAGE-SCR001,PAGE_OWNER,SCR-001,/,src/app/page.tsx,COMP-SCR001-HERO-SEARCH; COMP-SCR001-DOMESTIC-GRID; COMP-SCR001-OVERSEAS-GRID; COMP-SCR001-DEST-DRAWER; COMP-SCR001-SAFETY-DRAWER; COMP-SCR001-THEME-CHIPS; COMP-SCR001-COUNTRY-NOTICE; COMP-SCR001-MATE-PREVIEW; COMP-SCR001-ABOUT-BANNER; DATA-DESTINATIONS; DATA-SAFETY; DATA-REPRESENTATIVE; DB-ACCESS; SHARED-LAYOUT,REQ-FUNC-001; REQ-FUNC-064; REQ-FUNC-065; REQ-FUNC-070; REQ-FUNC-079,M,TASKS/TASK-PAGE-SCR001.md,DETAIL_EXISTS,W10
COMP-SCR001-HERO-SEARCH,COMPONENT,SCR-001,/,src/components/scr001/HeroSearch.tsx,DATA-DESTINATIONS,REQ-FUNC-002; REQ-FUNC-003,M,TASKS/TASK-COMP-SCR001-HERO-SEARCH.md,DETAIL_EXISTS,W08
COMP-SCR001-DOMESTIC-GRID,COMPONENT,SCR-001,/,src/components/scr001/DomesticGrid.tsx,DATA-DESTINATIONS,REQ-FUNC-001; REQ-FUNC-005; REQ-NF-006; REQ-NF-026,M,TASKS/TASK-COMP-SCR001-DOMESTIC-GRID.md,DETAIL_EXISTS,W08
COMP-SCR001-OVERSEAS-GRID,COMPONENT,SCR-001,/,src/components/scr001/OverseasGrid.tsx,DATA-DESTINATIONS; DATA-SAFETY,REQ-FUNC-001; REQ-FUNC-005; REQ-FUNC-006; REQ-NF-006; REQ-NF-026,M,TASKS/TASK-COMP-SCR001-OVERSEAS-GRID.md,DETAIL_EXISTS,W08
COMP-SCR001-DEST-DRAWER,COMPONENT,SCR-001,/,src/components/scr001/DestinationDrawer.tsx,DATA-DESTINATIONS; COMP-SCR001-SAFETY-DRAWER,REQ-FUNC-004; REQ-FUNC-006,M,TASKS/TASK-COMP-SCR001-DEST-DRAWER.md,DETAIL_EXISTS,W09
COMP-SCR001-SAFETY-DRAWER,COMPONENT,SCR-001,/,src/components/scr001/SafetyDrawer.tsx,DATA-SAFETY,REQ-FUNC-047; REQ-FUNC-048; REQ-FUNC-049; REQ-FUNC-050; REQ-FUNC-053; REQ-FUNC-054,M,TASKS/TASK-COMP-SCR001-SAFETY-DRAWER.md,DETAIL_EXISTS,W08
COMP-SCR001-THEME-CHIPS,COMPONENT,SCR-001,/,src/components/scr001/ThemeChips.tsx,DATA-DESTINATIONS,REQ-FUNC-002,M,TASKS/TASK-COMP-SCR001-THEME-CHIPS.md,DETAIL_EXISTS,W08
COMP-SCR001-COUNTRY-NOTICE,COMPONENT,SCR-001,/,src/components/scr001/CountryNoticeGrid.tsx,DATA-SAFETY; COMP-SCR001-SAFETY-DRAWER,REQ-FUNC-051; REQ-FUNC-052,M,TASKS/TASK-COMP-SCR001-COUNTRY-NOTICE.md,DETAIL_EXISTS,W09
COMP-SCR001-MATE-PREVIEW,COMPONENT,SCR-001,/,src/components/scr001/MatePreview.tsx,DB-ACCESS; SHARED-TOAST,REQ-FUNC-030; REQ-FUNC-043,M,TASKS/TASK-COMP-SCR001-MATE-PREVIEW.md,DETAIL_EXISTS,W08
COMP-SCR001-ABOUT-BANNER,COMPONENT,SCR-001,/,src/components/scr001/AboutBanner.tsx,DATA-REPRESENTATIVE,REQ-FUNC-057,M,TASKS/TASK-COMP-SCR001-ABOUT-BANNER.md,DETAIL_EXISTS,W08
PAGE-SCR002,PAGE_OWNER,SCR-002,/about,src/app/about/page.tsx,COMP-SCR002-HERO; COMP-SCR002-STATS; COMP-SCR002-STORY; COMP-SCR002-TIMELINE; COMP-SCR002-COUNTRIES; COMP-SCR002-GALLERY; COMP-SCR002-RECOMMEND-CTA; DATA-REPRESENTATIVE; DATA-DESTINATIONS; SHARED-LAYOUT,REQ-FUNC-057; REQ-FUNC-058; REQ-FUNC-059; REQ-FUNC-060; REQ-FUNC-062; REQ-FUNC-063; REQ-FUNC-064; REQ-FUNC-065; REQ-FUNC-070; REQ-FUNC-079,M,TASKS/TASK-PAGE-SCR002.md,DETAIL_EXISTS,W12
COMP-SCR002-HERO,COMPONENT,SCR-002,/about,src/components/scr002/ProfileHero.tsx,DATA-REPRESENTATIVE,REQ-FUNC-057; REQ-FUNC-058; REQ-FUNC-062,M,TASKS/TASK-COMP-SCR002-HERO.md,DETAIL_EXISTS,W11
COMP-SCR002-STATS,COMPONENT,SCR-002,/about,src/components/scr002/StatsCards.tsx,DATA-REPRESENTATIVE,REQ-FUNC-057,M,TASKS/TASK-COMP-SCR002-STATS.md,DETAIL_EXISTS,W11
COMP-SCR002-STORY,COMPONENT,SCR-002,/about,src/components/scr002/StorySection.tsx,DATA-REPRESENTATIVE,REQ-FUNC-058,M,TASKS/TASK-COMP-SCR002-STORY.md,DETAIL_EXISTS,W11
COMP-SCR002-TIMELINE,COMPONENT,SCR-002,/about,src/components/scr002/Timeline.tsx,DATA-REPRESENTATIVE,REQ-FUNC-060,M,TASKS/TASK-COMP-SCR002-TIMELINE.md,DETAIL_EXISTS,W11
COMP-SCR002-COUNTRIES,COMPONENT,SCR-002,/about,src/components/scr002/VisitedCountries.tsx,DATA-REPRESENTATIVE,REQ-FUNC-059,M,TASKS/TASK-COMP-SCR002-COUNTRIES.md,DETAIL_EXISTS,W11
COMP-SCR002-GALLERY,COMPONENT,SCR-002,/about,src/components/scr002/Gallery.tsx,DATA-REPRESENTATIVE,REQ-FUNC-058; REQ-NF-006,M,TASKS/TASK-COMP-SCR002-GALLERY.md,DETAIL_EXISTS,W11
COMP-SCR002-RECOMMEND-CTA,COMPONENT,SCR-002,/about,src/components/scr002/RecommendBanner.tsx,DATA-REPRESENTATIVE; DATA-DESTINATIONS,REQ-FUNC-063,S,TASKS/TASK-COMP-SCR002-RECOMMEND-CTA.md,DETAIL_EXISTS,W11
PAGE-SCR003,PAGE_OWNER,SCR-003,/travel-tools,src/app/travel-tools/page.tsx,COMP-SCR003-INTRO-TABS; COMP-SCR003-FLIGHT; COMP-SCR003-HOTEL; COMP-SCR003-MATE-WRITE; SHARED-LAYOUT,REQ-FUNC-054; REQ-FUNC-064; REQ-FUNC-065; REQ-FUNC-070; REQ-FUNC-079; REQ-FUNC-080,M,TASKS/TASK-PAGE-SCR003.md,DETAIL_EXISTS,W15
COMP-SCR003-INTRO-TABS,COMPONENT,SCR-003,/travel-tools,src/components/scr003/TabsShell.tsx,,REQ-FUNC-064,M,TASKS/TASK-COMP-SCR003-INTRO-TABS.md,DETAIL_EXISTS,W13
COMP-SCR003-FLIGHT,COMPONENT,SCR-003,/travel-tools,src/components/scr003/FlightTab.tsx,COMP-SCR003-INTRO-TABS,REQ-FUNC-011; REQ-FUNC-012; REQ-FUNC-013; REQ-FUNC-014; REQ-FUNC-015; REQ-FUNC-016; REQ-FUNC-017; REQ-FUNC-018; REQ-FUNC-054; REQ-NF-017,M,TASKS/TASK-COMP-SCR003-FLIGHT.md,DETAIL_EXISTS,W14
COMP-SCR003-HOTEL,COMPONENT,SCR-003,/travel-tools,src/components/scr003/HotelTab.tsx,COMP-SCR003-INTRO-TABS,REQ-FUNC-019; REQ-FUNC-020; REQ-FUNC-021; REQ-FUNC-022; REQ-FUNC-023; REQ-FUNC-024; REQ-FUNC-025; REQ-FUNC-026; REQ-NF-017,M,TASKS/TASK-COMP-SCR003-HOTEL.md,DETAIL_EXISTS,W14
COMP-SCR003-MATE-WRITE,COMPONENT,SCR-003,/travel-tools,src/components/scr003/MateWriteTab.tsx,COMP-SCR003-INTRO-TABS; DB-ACCESS; SHARED-AUTH-SETUP,REQ-FUNC-027; REQ-FUNC-028; REQ-FUNC-031; REQ-FUNC-032; REQ-FUNC-080,M,TASKS/TASK-COMP-SCR003-MATE-WRITE.md,DETAIL_EXISTS,W14
PAGE-SCR004,PAGE_OWNER,SCR-004,/mates,src/app/mates/page.tsx,COMP-SCR004-FILTER; COMP-SCR004-LIST; COMP-SCR004-DETAIL; COMP-SCR004-APPLY; COMP-SCR004-REPORT; COMP-SCR004-BLOCK; COMP-SCR004-SAFETY-GUIDE; DB-ACCESS; SHARED-LAYOUT,REQ-FUNC-064; REQ-FUNC-065; REQ-FUNC-070; REQ-FUNC-079,M,TASKS/TASK-PAGE-SCR004.md,DETAIL_EXISTS,W20
COMP-SCR004-FILTER,COMPONENT,SCR-004,/mates,src/components/scr004/MateFilter.tsx,DB-ACCESS,REQ-FUNC-030,M,TASKS/TASK-COMP-SCR004-FILTER.md,DETAIL_EXISTS,W16
COMP-SCR004-LIST,COMPONENT,SCR-004,/mates,src/components/scr004/MateList.tsx,DB-ACCESS; COMP-SCR004-FILTER,REQ-FUNC-030; REQ-FUNC-037,M,TASKS/TASK-COMP-SCR004-LIST.md,DETAIL_EXISTS,W17
COMP-SCR004-DETAIL,COMPONENT,SCR-004,/mates,src/components/scr004/MateDetailPanel.tsx,DB-ACCESS; COMP-SCR004-LIST,REQ-FUNC-033; REQ-FUNC-036; REQ-FUNC-038,M,TASKS/TASK-COMP-SCR004-DETAIL.md,DETAIL_EXISTS,W18
COMP-SCR004-APPLY,COMPONENT,SCR-004,/mates,src/components/scr004/ApplyForm.tsx,DB-ACCESS; COMP-SCR004-DETAIL; SHARED-AUTH-SETUP,REQ-FUNC-034; REQ-FUNC-035; REQ-NF-019,M,TASKS/TASK-COMP-SCR004-APPLY.md,DETAIL_EXISTS,W19
COMP-SCR004-REPORT,COMPONENT,SCR-004,/mates,src/components/scr004/ReportDialog.tsx,DB-ACCESS; SHARED-AUTH-SETUP,REQ-FUNC-039; REQ-NF-019,M,TASKS/TASK-COMP-SCR004-REPORT.md,DETAIL_EXISTS,W16
COMP-SCR004-BLOCK,COMPONENT,SCR-004,/mates,src/components/scr004/BlockAction.tsx,DB-ACCESS; SHARED-AUTH-SETUP,REQ-FUNC-040,M,TASKS/TASK-COMP-SCR004-BLOCK.md,DETAIL_EXISTS,W16
COMP-SCR004-SAFETY-GUIDE,COMPONENT,SCR-004,/mates,src/components/scr004/SafetyGuide.tsx,,REQ-FUNC-080,M,TASKS/TASK-COMP-SCR004-SAFETY-GUIDE.md,DETAIL_EXISTS,W16
PAGE-SCR005,PAGE_OWNER,SCR-005,/account,src/app/account/page.tsx,COMP-SCR005-AUTH; COMP-SCR005-PROFILE; COMP-SCR005-MY-ACTIVITY; COMP-SCR005-ADMIN; DB-ACCESS; SHARED-AUTH-SETUP; SHARED-LAYOUT,REQ-FUNC-064; REQ-FUNC-065; REQ-FUNC-070; REQ-FUNC-079,M,TASKS/TASK-PAGE-SCR005.md,DETAIL_EXISTS,W22
COMP-SCR005-AUTH,COMPONENT,SCR-005,/account,src/components/scr005/AuthPanel.tsx,SHARED-AUTH-SETUP,REQ-FUNC-066; REQ-FUNC-027; REQ-FUNC-028,M,TASKS/TASK-COMP-SCR005-AUTH.md,DETAIL_EXISTS,W21
COMP-SCR005-PROFILE,COMPONENT,SCR-005,/account,src/components/scr005/ProfileTab.tsx,DB-ACCESS,REQ-FUNC-029; REQ-FUNC-028,M,TASKS/TASK-COMP-SCR005-PROFILE.md,DETAIL_EXISTS,W21
COMP-SCR005-MY-ACTIVITY,COMPONENT,SCR-005,/account,src/components/scr005/MyActivityTab.tsx,DB-ACCESS,REQ-FUNC-036; REQ-FUNC-038; REQ-FUNC-040; REQ-FUNC-068,M,TASKS/TASK-COMP-SCR005-MY-ACTIVITY.md,DETAIL_EXISTS,W21
COMP-SCR005-ADMIN,COMPONENT,SCR-005,/account,src/components/scr005/AdminTab.tsx,DB-ACCESS,REQ-FUNC-041; REQ-FUNC-077,M,TASKS/TASK-COMP-SCR005-ADMIN.md,DETAIL_EXISTS,W21
SHARED-LAYOUT,SHARED,전역,(all routes),src/app/layout.tsx,SHARED-DESIGN-TOKENS,REQ-FUNC-064; REQ-FUNC-065; REQ-FUNC-070; REQ-FUNC-079; REQ-NF-030,M,TASKS/TASK-SHARED-LAYOUT.md,DETAIL_EXISTS,W02
SHARED-DESIGN-TOKENS,SHARED,전역,(all routes),tailwind.config` 또는 `src/app/globals.css,,,M,TASKS/TASK-SHARED-DESIGN-TOKENS.md,DETAIL_EXISTS,W01
SHARED-TOAST,SHARED,전역,(all routes),src/components/shared/Toast.tsx,,REQ-FUNC-043,M,TASKS/TASK-SHARED-TOAST.md,DETAIL_EXISTS,W01
SHARED-AUTH-SETUP,SHARED,전역,(all routes),src/lib/supabase/auth.ts,DB-SCHEMA-BASE,REQ-FUNC-066; REQ-NF-013; REQ-NF-014,M,TASKS/TASK-SHARED-AUTH-SETUP.md,DETAIL_EXISTS,W05
SHARED-FAVORITES,SHARED,전역,(all routes),src/hooks/useFavorites.ts,,REQ-FUNC-068,S,TASKS/TASK-SHARED-FAVORITES.md,DETAIL_EXISTS,W01
SHARED-ERROR-PAGES,SHARED,기술 Route,*,src/app/not-found.tsx` / `src/app/error.tsx,SHARED-LAYOUT,REQ-FUNC-078,M,TASKS/TASK-SHARED-ERROR-PAGES.md,DETAIL_EXISTS,W03
DATA-DESTINATIONS,DATA,해당없음(표시는 SCR-001),N/A,src/data/destinations.ts,,REQ-FUNC-001; REQ-FUNC-004; REQ-FUNC-005; REQ-FUNC-006; REQ-FUNC-008; REQ-NF-006; REQ-NF-026,M,TASKS/TASK-DATA-DESTINATIONS.md,DETAIL_EXISTS,W01
DATA-SAFETY,DATA,해당없음(표시는 SCR-001),N/A,src/data/country-safety.ts,DATA-DESTINATIONS,REQ-FUNC-046; REQ-FUNC-047; REQ-FUNC-048; REQ-FUNC-050; REQ-FUNC-051; REQ-FUNC-052; REQ-FUNC-053; REQ-NF-027; REQ-NF-028,M,TASKS/TASK-DATA-SAFETY.md,DETAIL_EXISTS,W02
DATA-REPRESENTATIVE,DATA,해당없음(표시는 SCR-002),N/A,src/data/representative.ts,DATA-DESTINATIONS,REQ-FUNC-057; REQ-FUNC-058; REQ-FUNC-059; REQ-FUNC-060; REQ-FUNC-062; REQ-FUNC-063,M,TASKS/TASK-DATA-REPRESENTATIVE.md,DETAIL_EXISTS,W02
DB-SCHEMA-BASE,DB,해당없음,N/A,supabase/migrations/0001_schema.sql,,REQ-FUNC-029; REQ-FUNC-031; REQ-FUNC-034; REQ-FUNC-039; REQ-FUNC-040; REQ-FUNC-077,M,TASKS/TASK-DB-SCHEMA-BASE.md,DETAIL_EXISTS,W04
DB-RLS-BASE,DB,해당없음,N/A,supabase/migrations/0002_rls.sql,DB-SCHEMA-BASE,REQ-FUNC-044; REQ-NF-013,M,TASKS/TASK-DB-RLS-BASE.md,DETAIL_EXISTS,W05
DB-ACCESS,DB,해당없음,N/A,src/lib/db/*.ts,DB-SCHEMA-BASE; DB-RLS-BASE,REQ-FUNC-030; REQ-FUNC-033; REQ-FUNC-034; REQ-FUNC-035; REQ-FUNC-036; REQ-FUNC-037; REQ-FUNC-038; REQ-FUNC-039; REQ-FUNC-040; REQ-FUNC-041; REQ-FUNC-077; REQ-NF-005; REQ-NF-015; REQ-NF-019,M,TASKS/TASK-DB-ACCESS.md,DETAIL_EXISTS,W06
DB-SEED-BASE,DB,해당없음,N/A,supabase/seed.sql,DB-SCHEMA-BASE; DB-RLS-BASE,,C,TASKS/TASK-DB-SEED-BASE.md,DETAIL_EXISTS,W06
UNIT-TRAVEL-DATES,UNIT_TEST,해당없음,N/A,tests/unit/travel-dates.spec.ts,COMP-SCR003-FLIGHT; COMP-SCR003-HOTEL,REQ-FUNC-013; REQ-FUNC-021,M,TASKS/TASK-UNIT-TRAVEL-DATES.md,DETAIL_EXISTS,W24
UNIT-CONTACT-DETECTION,UNIT_TEST,해당없음,N/A,tests/unit/contact-detection.spec.ts,COMP-SCR003-MATE-WRITE,REQ-FUNC-032,M,TASKS/TASK-UNIT-CONTACT-DETECTION.md,DETAIL_EXISTS,W23
UNIT-MATE-STATE,UNIT_TEST,해당없음,N/A,tests/unit/mate-state.spec.ts,DB-ACCESS,REQ-FUNC-035; REQ-FUNC-036; REQ-FUNC-037,M,TASKS/TASK-UNIT-MATE-STATE.md,DETAIL_EXISTS,W23
TEST-RLS-BASIC,RLS_TEST,해당없음,N/A,tests/rls/basic.spec.ts,DB-RLS-BASE; DB-SEED-BASE,REQ-FUNC-044; REQ-NF-013,M,TASKS/TASK-TEST-RLS-BASIC.md,DETAIL_EXISTS,W07
E2E-PUBLIC-SMOKE,E2E_TEST,SCR-001/002/004,"/`, `/about`, `/mates",tests/e2e/public-smoke.spec.ts,PAGE-SCR001; PAGE-SCR002; PAGE-SCR004,REQ-FUNC-001; REQ-FUNC-003; REQ-FUNC-004; REQ-FUNC-006; REQ-FUNC-057; REQ-FUNC-063,M,TASKS/TASK-E2E-PUBLIC-SMOKE.md,DETAIL_EXISTS,W23
E2E-TRAVEL-TOOLS,E2E_TEST,SCR-003,/travel-tools,tests/e2e/travel-tools.spec.ts,PAGE-SCR003,REQ-FUNC-011; REQ-FUNC-013; REQ-FUNC-016; REQ-FUNC-019; REQ-FUNC-021; REQ-FUNC-024,M,TASKS/TASK-E2E-TRAVEL-TOOLS.md,DETAIL_EXISTS,W23
E2E-MATE-AUTH,E2E_TEST,SCR-003/004/005,"/travel-tools`, `/mates`, `/account",tests/e2e/mate-auth.spec.ts,PAGE-SCR003; PAGE-SCR004; PAGE-SCR005; DB-SEED-BASE,REQ-FUNC-027; REQ-FUNC-028; REQ-FUNC-031; REQ-FUNC-034; REQ-FUNC-036,M,TASKS/TASK-E2E-MATE-AUTH.md,DETAIL_EXISTS,W23
CI-PIPELINE-BASE,CI,해당없음,N/A,.github/workflows/ci.yml`(또는 동등 CI 설정),UNIT-TRAVEL-DATES; UNIT-CONTACT-DETECTION; UNIT-MATE-STATE; TEST-RLS-BASIC; E2E-PUBLIC-SMOKE; E2E-TRAVEL-TOOLS; E2E-MATE-AUTH,REQ-NF-031,M,TASKS/TASK-CI-PIPELINE-BASE.md,DETAIL_EXISTS,W25
DEPLOY-ENV-CHECK,DEPLOY,해당없음,N/A,docs/deploy-checklist.md` 또는 Vercel 대시보드,DB-SCHEMA-BASE; SHARED-AUTH-SETUP,REQ-NF-012; REQ-NF-016; REQ-NF-034,M,TASKS/TASK-DEPLOY-ENV-CHECK.md,DETAIL_EXISTS,W26
MANUAL-A11Y-CHECK,MANUAL_CHECK,전역,(all routes),N/A(브라우저 수동 확인),SHARED-LAYOUT; PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,REQ-NF-023; REQ-NF-025,M,TASKS/TASK-MANUAL-A11Y-CHECK.md,DETAIL_EXISTS,W23
MANUAL-RESPONSIVE-CHECK,MANUAL_CHECK,전역,(all routes),N/A(브라우저 수동 확인),SHARED-LAYOUT; PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,REQ-FUNC-065; REQ-NF-001; REQ-NF-002; REQ-NF-003,M,TASKS/TASK-MANUAL-RESPONSIVE-CHECK.md,DETAIL_EXISTS,W23
COMP-LEGAL-DOCS,COMPONENT,"해당없음(5개 Screen 밖, DEC-015)","/legal/terms`, `/legal/privacy`, `/legal/companion-guidelines`, `/legal/content-disclaimer",src/app/legal/terms/page.tsx,SHARED-LAYOUT,REQ-FUNC-080,S,TASKS/TASK-COMP-LEGAL-DOCS.md,DETAIL_EXISTS,W02
RELEASE-ACCEPTANCE-CHECK,RELEASE_CHECK,전역,(all routes),N/A,PAGE-SCR001; COMP-SCR001-HERO-SEARCH; COMP-SCR001-DOMESTIC-GRID; COMP-SCR001-OVERSEAS-GRID; COMP-SCR001-DEST-DRAWER; COMP-SCR001-SAFETY-DRAWER; COMP-SCR001-THEME-CHIPS; COMP-SCR001-COUNTRY-NOTICE; COMP-SCR001-MATE-PREVIEW; COMP-SCR001-ABOUT-BANNER; PAGE-SCR002; COMP-SCR002-HERO; COMP-SCR002-STATS; COMP-SCR002-STORY; COMP-SCR002-TIMELINE; COMP-SCR002-COUNTRIES; COMP-SCR002-GALLERY; COMP-SCR002-RECOMMEND-CTA; PAGE-SCR003; COMP-SCR003-INTRO-TABS; COMP-SCR003-FLIGHT; COMP-SCR003-HOTEL; COMP-SCR003-MATE-WRITE; PAGE-SCR004; COMP-SCR004-FILTER; COMP-SCR004-LIST; COMP-SCR004-DETAIL; COMP-SCR004-APPLY; COMP-SCR004-REPORT; COMP-SCR004-BLOCK; COMP-SCR004-SAFETY-GUIDE; PAGE-SCR005; COMP-SCR005-AUTH; COMP-SCR005-PROFILE; COMP-SCR005-MY-ACTIVITY; COMP-SCR005-ADMIN; SHARED-LAYOUT; SHARED-DESIGN-TOKENS; SHARED-TOAST; SHARED-AUTH-SETUP; SHARED-FAVORITES; SHARED-ERROR-PAGES; COMP-LEGAL-DOCS; DATA-DESTINATIONS; DATA-SAFETY; DATA-REPRESENTATIVE; DB-SCHEMA-BASE; DB-RLS-BASE; DB-ACCESS; DB-SEED-BASE; UNIT-TRAVEL-DATES; UNIT-CONTACT-DETECTION; UNIT-MATE-STATE; TEST-RLS-BASIC; E2E-PUBLIC-SMOKE; E2E-TRAVEL-TOOLS; E2E-MATE-AUTH; CI-PIPELINE-BASE; DEPLOY-ENV-CHECK; MANUAL-A11Y-CHECK; MANUAL-RESPONSIVE-CHECK,,M,TASKS/TASK-RELEASE-ACCEPTANCE-CHECK.md,DETAIL_EXISTS,W27
